FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
86,LAFAYETTE SQUARE, ,11792.383539,7428376.86412,LAFAYETTE SQUARE,489,10726,5,110,2021/01/30,1007666.109375,4340.46993210396
87,CADILLAC-CORNING, ,10618.9960704,6620027.05502,CADILLAC-CORNING,620,8707,6,84,2021/01/30,897991.69140625,3910.14190738024
88,ST ELMO VILLAGE, ,8692.25329963,4200717.42855,ST ELMO VILLAGE,575,12544,20,436,2021/01/30,569820.25,3201.4973293718
89,CLOVERDALE/COCHRAN, ,23087.3907268,26344948.7595,CLOVERDALE/COCHRAN,1435,9861,16,110,2021/01/30,3573294.46484375,8497.33805970097
90,RANCHO PARK,yes,22366.9193508,23457011.1142,RANCHO PARK,306,4665,1,15,2021/01/30,3181398.9140625,8235.56435084659
91,FAIRCREST HEIGHTS, ,16543.9996637,13206615.9434,FAIRCREST HEIGHTS,205,5694,2,56,2021/01/30,1791284.6953125,6093.39889878162
92,REYNIER VILLAGE, ,14774.8394437,10005786.6893,REYNIER VILLAGE,220,5203,1,24,2021/01/30,1357063.0703125,5438.65634395142
93,WEST ADAMS,yes,36691.2665484,41503423.2811,WEST ADAMS,3582,12964,111,402,2021/01/30,5628947.90234375,13493.0753598397
94,WELLINGTON SQUARE, ,13134.62972,8688491.46965,WELLINGTON SQUARE,505,10275,8,163,2021/01/30,1178387.390625,4836.59523233986
95,LONGWOOD, ,11185.0853735,7238514.20584,LONGWOOD,531,12337,6,139,2021/01/30,981739.54296875,4118.04671038809
96,UNIVERSITY PARK, ,29653.7584997,41825677.5331,UNIVERSITY PARK,2996,10912,39,142,2021/01/30,5671629.24609375,10914.1819930682
97,REGENT SQUARE, ,10436.0640263,5307139.23823,REGENT SQUARE,217,7806,1,36,2021/01/30,719735.08984375,3841.21290157271
98,MAR VISTA,yes,50520.8960629,97600117.1467,MAR VISTA,1737,4090,25,59,2021/01/30,13230013.2890625,18600.2588178055
99,ADAMS-NORMANDIE, ,13229.1910681,10427640.4108,ADAMS-NORMANDIE,1073,13082,14,171,2021/01/30,1414040.26171875,4869.28484448286
100,PALMS,yes,38707.1219246,49146441.6337,PALMS,2269,5171,40,91,2021/01/30,6663597.0078125,14246.9659346111
101,CRENSHAW DISTRICT,yes,26051.7293897,33233216.8219,CRENSHAW DISTRICT,1298,9386,16,116,2021/01/30,4505926.16796875,9596.0433148161
102,ALSACE, ,19230.0880573,16324695.6721,ALSACE,1446,11619,13,104,2021/01/30,2213707.15234375,7072.85524628295
103,EXPOSITION, ,13735.5176321,9716981.47497,EXPOSITION,325,9771,5,150,2021/01/30,1317584.33203125,5059.33759646186
104,EXPOSITION PARK, ,39842.9083566,70669196.3877,EXPOSITION PARK,5584,12432,59,131,2021/01/30,9580693.140625,14658.729471058
105,JEFFERSON PARK, ,14248.7652259,12502475.0563,JEFFERSON PARK,1049,12994,9,111,2021/01/30,1695201.26953125,5248.08790582852
106,CENTRAL,yes,32464.8388493,42653277.9786,CENTRAL,6920,17747,84,215,2021/01/30,5782235.6640625,11949.5418665385
107,BALDWIN HILLS,yes,54062.3538759,72471319.9307,BALDWIN HILLS,2420,7775,45,145,2021/01/30,9824086.28125,19900.4105361668
108,LEIMERT PARK,yes,28521.7793615,37025259.1124,LEIMERT PARK,1393,9143,15,98,2021/01/30,5018034.80859375,10505.4535949106
109,VERNON CENTRAL, ,40253.5070928,63745613.7719,VERNON CENTRAL,10290,19789,118,227,2021/01/30,8638355.74609375,14821.3946242382
110,WEST VERNON, ,51127.2388366,70717942.6642,WEST VERNON,9286,17310,138,257,2021/01/30,9583048.4453125,18815.4345315454
111,SOUTH PARK, ,27812.8824739,40272283.545,SOUTH PARK,6768,17829,77,203,2021/01/30,5457278.68359375,10241.8136398528
112,VENICE,yes,42487.4367832,77365656.5986,VENICE,1336,3943,13,38,2021/01/30,10482155.7460938,15635.0673376262
113,DEL REY,yes,44901.1444683,65056174.1909,DEL REY,1767,5903,19,63,2021/01/30,8813664.3828125,16524.7246284855
114,VERMONT SQUARE, ,14247.9891508,12464816.7283,VERMONT SQUARE,1362,17788,10,131,2021/01/30,1689092.83203125,5243.49945979313
115,HYDE PARK, ,38453.657366,58282033.6572,HYDE PARK,3279,11489,44,154,2021/01/30,7894674.4453125,14157.2446078047
116,HYDE PARK, ,10307.121585,1920946.17371,HYDE PARK,3279,11489,44,154,2021/01/30,260213.44921875,3793.94024383975
117,PLAYA VISTA, ,38808.2010587,38198628.6997,PLAYA VISTA,508,4641,5,46,2021/01/30,5173797.7734375,14278.8859332884
